Prince_michael	[20130615,20130606,20130609,20130611,20130610,20130608,20130612,20130603,20130605,20130607,20130613,20130604]	[2,14,6,3,6,9,6,3,9,5,4,7]	74	-2
Bantia_michaelisi	[20130613,20130615,20130606,20130610,20130601,20130602,20130611,20130614,20130609,20130607,20130608,20130612,20130603]	[4,2,2,2,1,1,3,4,24,24,3,1,2]	73	13
Aklavik/Freddie_Carmichael_Airport	[20130611,20130602,20130612,20130603,20130609,20130615,20130606,20130601,20130610,20130614,20130605,20130604,20130613,20130607,20130608]	[6,11,4,5,2,1,2,3,4,6,3,10,6,3,6]	72	-2
Gershom_Carmichael	[20130601,20130610,20130605,20130614,20130615,20130606,20130608,20130604,20130613,20130603,20130612,20130609,20130607,20130611]	[6,8,10,5,2,5,3,8,3,3,1,3,8,6]	71	-9
Carmichael_House_(Macon,_Georgia)	[20130609,20130610,20130601,20130608,20130607,20130611,20130602,20130603,20130612,20130604,20130613,20130606,20130615,20130614,20130605]	[3,5,5,4,4,5,3,4,5,10,2,7,6,4,3]	70	-2
Matt_Carmichael_(footballer)	[20130608,20130607,20130602,20130611,20130606,20130615,20130610,20130601,20130614,20130605,20130604,20130613,20130612,20130603,20130609]	[3,2,5,3,3,8,13,6,6,2,8,4,1,3,3]	70	12
Emily_Carmichael	[20130602,20130611,20130603,20130612,20130604,20130613,20130607,20130606,20130615,20130614,20130605,20130609,20130608,20130610,20130601]	[3,2,5,3,3,4,2,8,4,3,22,4,3,2,1]	69	-19
Carmichaels%2C_Pennsylvania	[20130607,20130606,20130614,20130605,20130601,20130610,20130602,20130611,20130608,20130609,20130613,20130604,20130603,20130612]	[2,6,5,5,5,7,5,1,5,7,2,4,8,6]	68	-2
George_michael_discography	[20130609,20130610,20130601,20130612,20130603,20130604,20130613,20130608,20130607,20130606,20130615,20130602,20130611,20130614,20130605]	[2,3,11,4,1,6,3,2,4,1,3,1,23,1,3]	68	14
Albert_A._Carmichael	[20130612,20130603,20130601,20130610,20130613,20130604,20130602,20130611,20130605,20130614,20130606,20130615,20130607,20130608,20130609]	[5,5,3,4,6,3,6,6,5,1,5,5,7,5,1]	67	-1
Alexander_Carmichael_Bruce	[20130606,20130615,20130612,20130603,20130602,20130611,20130609,20130601,20130610,20130613,20130604,20130614,20130605,20130607,20130608]	[4,5,4,1,3,6,3,5,3,5,5,8,4,3,7]	66	16
Archibald_M._Carmichael	[20130609,20130608,20130607,20130615,20130606,20130604,20130613,20130610,20130601,20130603,20130612,20130611,20130602,20130605,20130614]	[1,6,2,5,4,3,4,4,6,2,13,2,5,4,4]	65	13
David_Carmichael	[20130614,20130605,20130606,20130615,20130601,20130610,20130609,20130612,20130603,20130608,20130607,20130602,20130611,20130604,20130613]	[1,7,8,5,4,2,1,6,5,5,6,1,8,1,5]	65	1
Live_with_kelly_and_michael	[20130615,20130606,20130610,20130609,20130605,20130614,20130608,20130602,20130611,20130613,20130604,20130607,20130612,20130603]	[4,11,6,3,3,5,2,5,5,2,4,6,5,4]	65	-1
Sir_John_Carmichael	[20130602,20130611,20130605,20130612,20130603,20130613,20130604,20130601,20130607,20130609,20130606,20130615,20130608]	[3,5,1,5,9,9,2,4,9,4,3,9,2]	65	3
Ian_Carmichael_(musician)	[20130602,20130611,20130601,20130607,20130608,20130604,20130613,20130614,20130605,20130612,20130603,20130615,20130609]	[2,4,3,3,2,4,7,1,3,29,3,2,1]	64	28
Pete_Carmichael	[20130611,20130602,20130604,20130613,20130605,20130614,20130612,20130603,20130606,20130615,20130609,20130607,20130608,20130601,20130610]	[3,1,7,1,4,5,8,6,9,2,4,3,4,4,3]	64	-4
Karmichael_hunt	[20130605,20130614,20130606,20130615,20130608,20130610,20130601,20130604,20130613,20130607,20130609,20130602,20130611,20130603,20130612]	[6,3,2,6,10,3,3,2,2,4,4,4,6,4,4]	63	13
Carmichael_numbers	[20130604,20130613,20130614,20130605,20130601,20130610,20130603,20130612,20130609,20130608,20130611,20130602,20130615,20130606,20130607]	[3,4,2,2,6,3,6,5,7,2,3,3,6,4,6]	62	2
Charles_Carmichael_Monro	[20130607,20130606,20130615,20130610,20130601,20130602,20130611,20130609,20130603,20130612,20130605,20130614,20130604,20130613,20130608]	[8,9,5,2,2,4,2,2,3,8,4,6,2,2,3]	62	-2
Death_of_michael_jackson	[20130609,20130610,20130601,20130608,20130614,20130605,20130606,20130615,20130607,20130603,20130612,20130611,20130602,20130604,20130613]	[6,5,4,4,4,4,7,6,2,2,1,4,6,1,6]	62	10
John_Carmichael_(sportswriter)	[20130610,20130601,20130615,20130606,20130614,20130605,20130613,20130604,20130611,20130602,20130609,20130612,20130603,20130607,20130608]	[5,10,2,2,3,6,1,4,4,4,7,6,3,1,4]	62	2
Neil_Carmichael,_Baron_Carmichael_of_Kelvingrove	[20130609,20130608,20130607,20130615,20130606,20130614,20130605,20130604,20130613,20130612,20130603,20130610,20130601,20130602,20130611]	[4,2,7,4,4,3,4,5,3,6,7,1,3,4,4]	61	-7
Carmichael,_CA	[20130606,20130615,20130607,20130609,20130604,20130613,20130614,20130605,20130601,20130610,20130611,20130608,20130603,20130612]	[3,8,1,3,9,4,9,4,1,4,4,1,6,3]	60	12
Carmichael,_Saskatchewan	[20130608,20130607,20130609,20130610,20130601,20130614,20130605,20130606,20130615,20130613,20130604,20130603,20130612,20130602,20130611]	[3,2,5,4,2,2,3,6,4,5,4,7,5,4,4]	60	4
Carmichaels_Area_Junior/Senior_High_School	[20130606,20130615,20130607,20130609,20130608,20130613,20130604,20130603,20130612,20130605,20130614,20130602,20130611,20130610,20130601]	[2,3,2,1,2,25,4,4,3,5,1,1,2,3,2]	60	20
Frank_Carmichael	[20130609,20130611,20130602,20130613,20130604,20130601,20130610,20130603,20130612,20130607,20130606,20130615,20130605,20130614,20130608]	[3,2,3,2,2,2,1,31,1,2,4,2,2,2,1]	60	-32
Hoagie_Carmichael	[20130614,20130605,20130609,20130603,20130612,20130613,20130604,20130601,20130610,20130606,20130615,20130607,20130608,20130611,20130602]	[5,8,1,3,5,3,5,1,5,2,3,4,5,2,8]	60	-2
