Martin_Kemp_(entertainer)	[20130605,20130614,20130602,20130611,20130615,20130606,20130601,20130610,20130603,20130612,20130608,20130607,20130609,20130604,20130613]	[461,323,362,480,276,347,360,314,358,753,277,475,276,375,371]	5808	332
Fabian_(entertainer)	[20130615,20130606,20130611,20130602,20130610,20130601,20130614,20130605,20130613,20130604,20130608,20130609,20130607,20130603,20130612]	[339,328,346,448,380,317,503,354,374,343,327,453,353,401,421]	5687	599
Ken_Murray_(entertainer)	[20130612,20130603,20130607,20130615,20130606,20130601,20130610,20130605,20130614,20130602,20130611,20130608,20130609,20130613,20130604]	[4385,22,23,109,28,30,104,30,194,40,57,209,63,339,37]	5670	5250
List_of_Jewish_American_entertainers	[20130609,20130613,20130604,20130615,20130606,20130607,20130611,20130602,20130603,20130612,20130608,20130605,20130614,20130601,20130610]	[355,341,338,307,322,359,397,407,432,310,317,465,366,420,381]	5517	31
Lucero_(entertainer)	[20130604,20130613,20130609,20130614,20130605,20130603,20130612,20130607,20130610,20130601,20130608,20130611,20130602,20130615,20130606]	[394,350,330,286,448,359,427,402,313,309,373,370,318,270,349]	5298	140
List_of_entertainers_who_died_during_a_performance	[20130611,20130602,20130609,20130610,20130601,20130604,20130613,20130612,20130603,20130607,20130614,20130605,20130615,20130606,20130608]	[327,368,357,389,324,363,333,369,378,279,371,432,337,352,292]	5271	279
John_Davidson_(entertainer)	[20130607,20130611,20130602,20130604,20130613,20130603,20130612,20130601,20130610,20130609,20130614,20130605,20130615,20130606,20130608]	[343,316,350,278,383,362,315,244,371,352,352,296,275,448,304]	4989	347
Oliver_James_(entertainer)	[20130614,20130605,20130601,20130610,20130609,20130608,20130602,20130611,20130603,20130612,20130613,20130604,20130607,20130615,20130606]	[155,148,482,282,600,693,244,171,357,171,157,190,134,157,123]	4064	708
Tony_Martin_(entertainer)	[20130607,20130608,20130609,20130602,20130611,20130603,20130612,20130604,20130613,20130606,20130615,20130601,20130610,20130605,20130614]	[422,284,273,235,239,215,231,198,226,381,256,202,246,292,307]	4007	117
Jon_Lee_(entertainer)	[20130612,20130603,20130614,20130605,20130613,20130604,20130607,20130608,20130609,20130610,20130601,20130611,20130602,20130615,20130606]	[232,287,281,230,232,214,272,263,264,287,300,269,301,226,246]	3904	204
Anna_Graceman_(entertainer)	[20130610,20130601,20130611,20130602,20130609,20130608,20130613,20130604,20130603,20130612,20130606,20130615,20130614,20130605,20130607]	[202,254,207,238,243,266,281,205,197,260,311,296,261,344,250]	3815	217
IOTA_(entertainer)	[20130608,20130611,20130602,20130604,20130613,20130607,20130612,20130603,20130609,20130605,20130614,20130606,20130615,20130610,20130601]	[207,218,400,253,150,228,198,326,282,213,152,261,181,249,410]	3728	-454
Craig_Owens_(entertainer)	[20130611,20130602,20130601,20130610,20130608,20130606,20130615,20130607,20130603,20130612,20130609,20130614,20130605,20130604,20130613]	[213,265,240,290,193,260,285,215,291,224,205,256,244,309,228]	3718	70
Christopher_Martin_(entertainer)	[20130601,20130610,20130606,20130615,20130608,20130609,20130613,20130604,20130612,20130603,20130614,20130605,20130602,20130611,20130607]	[318,248,267,189,204,220,170,259,225,227,309,245,363,215,237]	3696	-136
Boom_(entertainer)	[20130614,20130605,20130608,20130607,20130606,20130615,20130609,20130610,20130601,20130602,20130611,20130604,20130613,20130603,20130612]	[196,217,240,242,227,192,236,205,221,238,209,235,187,232,213]	3290	66
Christopher_Reid_(entertainer)	[20130613,20130604,20130603,20130612,20130614,20130605,20130615,20130606,20130611,20130602,20130601,20130610,20130608,20130609,20130607]	[188,212,226,211,261,177,181,207,172,334,251,185,215,195,263]	3278	-62
Mike_Reid_(entertainer)	[20130608,20130606,20130615,20130602,20130611,20130605,20130614,20130604,20130613,20130609,20130610,20130601,20130607,20130612,20130603]	[320,316,185,180,185,135,146,224,184,231,207,163,229,190,170]	3065	231
